AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
01A,Afognak Lake Airport,58.10944444,-152.90666667
03A,Bear Creek Mining Strip,65.54805556,-161.07166667
04A,Lik Mining Camp,68.08333333,-163.16666667
05A,Little Squaw Airport,67.57000000,-148.18388889
06A,Kizhuyak Bay,57.74527778,-152.88277778
07A,Klawock Seaplane Base,55.55472222,-133.10166667
08A,Elizabeth Island Airport,59.15694444,-151.82916667
09A,Augustin Island,59.36277778,-153.43055556
1AK,Mertarvik Quarry Road Landing Strip,60.81833333,-164.51888889
1AK,Mertarvik Quarry Road Landing Strip,60.81833333,-164.51888889
1B1,Columbia County,42.28888889,-73.71027778
1B1,Columbia County,42.29138889,-73.71027778
1CA,Rio Vista Municipal,38.19333333,-121.70361111
1CT,Valley Farms,42.01361111,-72.47277778
1FL,NASA Shuttle Landing Facility,28.61500000,-80.69444444
1FL,Space Florida Launch Landing Facility,28.61500000,-80.69444444
1G4,Grand Canyon West,35.98611111,-113.81694444
1G4,Grand Canyon West,35.98611111,-113.81694444
1G4,Grand Canyon West,35.99027778,-113.81638889
1G4,Grand Canyon West,35.99027778,-113.81638889
1GA,Atlanta Speedway,33.39000000,-84.33111111
1GA,Henry County,33.39000000,-84.33111111
1N7,Blairstown Airport,40.97111111,-74.99750000
1NC,Halifax Northampton Regional,36.43944444,-77.70944444
1NJ,Aeroflex Andover,41.00861110,-74.73805556
1NY,Penn Yan Airport,42.63694444,-77.05277778
1NY,Penn Yan Airport,42.63694444,-77.05277778
1NY,Penn Yan Airport,42.63722222,-77.05277778
1OH,Lake County Executive,41.68416667,-81.38972222
1PA,Joseph A Hardy Connellsville,39.95916667,-79.65750000
1TN,Beech River Regional,35.65638889,-88.19527778
1TX,Moore County,35.85750000,-102.01333333
1VA,Warrenton Fauquier,38.58638889,-77.71055556
1WA,Deer Park Airport,47.96694444,-117.42861111
2AK,Deer Park,56.51972222,-134.67944444
2CA,Delano Municipal,35.74555556,-119.23638889
2FL,North Palm Beach County Gen Aviation,26.84583333,-80.22222222
2GA,Camilla Mitchell County,31.21305556,-84.23527778
2NC,Asheboro Regional,35.65444444,-79.89472222
2NJ,Southern Cross,39.65555556,-75.01444444
2NY,Sands Point Seaplane Base,40.82750000,-73.71694444
2PA,Heliport 76er,39.90333333,-75.16361111
2TN,Mark Anton,35.48611111,-84.93111111
2TX,Brenham Municipal,30.21972222,-96.37444444
2VA,Camp Peary Landing Strip,37.31277777,-76.63833333
2WA,Tacoma Seaplane Base,47.28333333,-122.47361111
2WK,Odessa Municipal,47.34750000,-118.67722222
3AK,Gold Mining Landing Strip,64.40972222,-155.49111111
3CA,Garberville Airport,40.08555556,-123.81416667
3FL,Wauchula Municipal,27.51500000,-81.88055556
3GA,Early County,31.39750000,-84.89472222
3NC,Hendersonville Airport,35.30749999,-82.43305556
3NJ,76ers Camden Heliport,39.94194444,-75.12833333
3NJ,Camden Airport,39.94194444,-75.01166667
3NY,Sebonac,40.89861111,-72.41055556
3PA,Conshohocken Heliport,40.06944444,-75.30222222
3TN,Elizabethton Municipal,36.37166667,-82.17277778
3TX,Lancaster Regional,32.57750000,-96.71750000
3VA,Middle Peninsula Regional,37.52138888,-76.76277778
4AK,Bradley Sky Ranch,64.75916667,-147.38777778
4CA,University,38.53138889,-121.78638889
4CL,El Mirage Field Adelanto,34.62500000,-117.60500000
4CL,El Mirage Field Adelanto,34.62555556,-117.59833333
4FL,Quincy Municipal,30.59777778,-84.55750000
4GA,Paulding Memorial Hospital Heliport,33.91972221,-84.85277778
4NC,Western Carolina Regional,35.19527778,-83.86305556
4NJ,Pomona Airport,39.47916667,-74.53944444
4NY,Johnson Landing Strip,41.81916667,-73.64333333
4PA,Total Rf Heliport,40.07083333,-74.93361111
4TX,Lajitas International,29.27722222,-103.68583333
5AK,Lawing Airport,60.41194444,-149.36944444
5CA,Gray Butte Field,34.56666666,-117.67027778
5FL,St George Island,29.64444444,-84.91555556
5GA,Tom B David Field,34.45527778,-84.93916667
5NJ,Prudential Center Heliport,40.73333333,-74.17194444
5NY,Malone Dufort,44.85361111,-74.32888889
5PA,Allentown Queen City Municipal,40.57027778,-75.48833333
5TX,South Texas International at Edinburg,26.44166667,-98.12222222
6AK,Newtok Seaplane Base,60.92361111,-164.65611111
6B0,Middlebury State,43.98472222,-73.09583333
6B0,Middlebury State,43.98472222,-73.09583333
6B0,Middlebury State,43.98555556,-73.09555556
6B0,Middlebury State,43.98555556,-73.09555556
6B0,Middlebury State,43.98638889,-73.09555556
6CA,Little River Airport,39.26194444,-123.75388889
6GA,Habersham County,34.49972222,-83.55666667
6NJ,Ocean Casino Resort,39.36222222,-74.41611111
6NY,Sag Harbor,41.00888889,-72.27527778
6PA,Franklin County Regional,39.97305556,-77.64333333
6TX,Real County,29.74555556,-99.76083333
7AK,Akun Airport,54.14472222,-165.60416667
7NJ,Meadowlands 2 Nj Complex Heliport,40.81555556,-74.07055556
7NY,Shelter Island,41.07916667,-72.33916667
7TX,Possum Kingdom,32.92333333,-98.43694444
8AK,Willow Conocophillips,70.11083333,-152.12972222
8F3,Crosbyton Municipal,33.62388889,-101.24083333
8NJ,Helo Kearny Heliport,40.73166667,-74.11666667
8NY,Noyack ,41.01611110,-72.33916667
8TX,McGregor Exec,31.48500000,-97.31666667
8TX,McGregor Executive,31.48500000,-97.31666667
9NY,Sbnysh,41.09277778,-72.31583333
9TX,Center Municipal,31.83166667,-94.15638889
A01,Blair Lake,64.36361111,-147.36388889
A01,Blair Lake,64.36416667,-147.36138889
A02,Deadmans Bay Airport,57.06666667,-153.93777778
A03,Hallo Bay Airport,58.45750000,-154.02333333
A04,Red Lake Airport,57.27722222,-154.34222222
A05,Shell Lake Airport,61.96388889,-151.55583333
A06,Navigator Airstrip,65.65555556,-165.35638889
A07,Roland Norton Memorial,66.76611111,-160.15277778
A07,Roland Norton Memorial Airstrip,66.76583333,-160.15250000
A08,Pillar Bay Airport,56.59805556,-134.24277778
A09,Johnstone Point Airport,60.48166667,-146.58416667
A09,Johnstone Point Airport,60.48166667,-146.58416667
A09,Johnstone Point Airport,60.48222222,-146.58222222
A09,Johnstone Point Airport,60.48222222,-146.58222222
A11,Bell Creek Airport,60.78388889,-159.54027778
A12,Cinnabar Airport,60.78527778,-158.86444444
A13,Mountaintop Mine Airport,61.39027778,-157.99555556
A14,Whitebear Airport,61.18888889,-159.85833333
A15,Puviaq Airport,70.71555556,-154.40694444
A15,Puviaq Airport,70.71861111,-154.38833333
A16,Arley Lake Airport,70.74694444,-155.36083333
A17,Port Vita Airport,58.06555556,-153.07250000
A18,Kantishna Airport,63.54111111,-150.99500000
A18,Kantishna Airport,63.54111111,-150.99500000
A18,Kantishna Airport,63.54166667,-150.99388889
A18,Kantishna Airport,63.54166667,-150.99388889
A1K,Point Thomson Airstrip,70.13611111,-146.29000000
A1K,Point Thomson Airstrip,70.13611111,-146.29000000
A1L,Cullman Regional Folsom Field,34.26861111,-86.85805556
A20,Alpine Airstrip,70.34416667,-150.94472222
A21,Serpentine Airport,65.85138889,-164.70277778
A22,Driftwood Bay Airport,53.97277778,-166.85694444
A23,Bradley Lake Airport,59.77611111,-151.96361111
A24,Chilkat Lake Airport,59.33166667,-135.89666667
A25,Nugget Creek Airport,59.28833333,-136.17388889
A26,Ivotuk Airstrip,68.48333333,-155.73333333
A27,Pogo Mines Airport,64.44000000,-144.93638889
A28,Ayakulik River Airport,57.25388889,-154.42222222
A29,Kiluda Bay Airport,57.32305556,-153.14944444
A2K,Bartletts Airport,58.23305556,-157.36638889
A2L,Isbell Field,34.47361111,-85.72138889
A30,Terror Lake Airport,57.96388889,-153.05833333
A31,Selief Bay Airport,58.98277778,-153.18333333
A34,Laura Lake Airport,58.36194444,-152.31222222
A35,Bullen Point AFS,70.17277778,-146.83611111
A36,Deep Bay Airport,55.56027778,-131.65555556
A37,Kako Airport,61.89888889,-161.43972222
A37,Kako Airport,61.89888889,-161.43805556
A38,Molly Creek Airport,64.09722222,-143.26666667
A39,Ptarmigan Lake Airport,61.86611111,-141.15972222
A3K,Smith Bay Airport,70.76583333,-154.23083333
A40,Cape Simpson Airport,71.05694444,-154.72833333
A41,Kogru River Airport,70.57472222,-152.25888889
A41,Kogru River Airport,70.57611111,-152.27111111
A42,Teshepkuk Lake Airport,70.35833333,-153.19666667
A43,Trident Basin Seaplane Base,57.78083333,-152.39111111
A45,Lake Florence Airport,57.81666667,-134.58333333
A46,Lake Hasselborg Airport,57.70000000,-134.26666667
A47,Distin Lake Airport,57.61666667,-134.36666667
A48,Port Hobron Airport,57.15000000,-153.15000000
A49,Mooseville Airstrip Airport,70.28444444,-152.21194444
A4K,Dune Lake Airport,64.42138889,-149.89444444
A50,Big Bay Airport,58.56250000,-152.59611111
A51,Wien Lake Airport,64.35277778,-151.27500000
A52,Silver Salmon Creek Airport,59.96388889,-152.68222222
A53,Blear Lake Airport,64.33333333,-147.50000000
A54,Cannery Bay Airport,53.68333333,-166.75000000
A56,Johnsons Landing,56.03666667,-160.26611111
A57,International Seafoods Airport,58.26666667,-157.53333333
A58,Cosna River Airport,64.50000000,-151.66666667
A59,Ivatuk Airport,68.48777778,-155.75750000
A5K,Paxson Airport,63.02444444,-145.50055556
A5K,Paxson Airport,63.02444444,-145.50055556
A61,Cape Sarichef AFS,54.58333333,-164.91250000
A61,Cape Sarichef Airport,54.58250000,-164.91444444
A62,Taylor Mountain,60.86777778,-157.39194444
A63,Coal Creek,65.31111111,-143.13527778
A63,Coal Creek,65.31138889,-143.13555556
A63,Coal Creek,65.31138889,-143.13555556
A63,Coal Creek,65.31166667,-143.13416667
A63,Coal Creek,65.31166667,-143.13416667
A65,Karluk Portage Airport,57.53833333,-154.16444444
A66,Hope Airport,60.90416667,-149.62388889
A66,Hope Airport,60.90416667,-149.62388889
A66,Hope Airport,60.90555556,-149.62388889
A66,Hope Airport,60.90722222,-149.62277778
A66,Hope Airport,60.90722222,-149.62277778
A67,Viekoda Bay Airport,57.84944444,-153.11527778
A69,Cathedral Strip,55.74000000,-162.12527778
A6K,Van Curlers Sandbar,65.04472222,-145.42305556
A70,Village Islands Airport,57.77416667,-153.54472222
A71,Bear Cove Farm,59.73833333,-151.03000000
A72,Chinitna Bay Airport,59.83333333,-152.58472222
A73,McKinley National Park,63.73250000,-148.91055556
A74,Dog Fish Bay,59.24111111,-151.87722222
A75,Malina Bay Airport,58.17194444,-152.89416667
A76,Red Fox Bay Airport,58.46444444,-152.59305556
A77,Shearwater Airport,57.34333333,-152.89722222
A78,Lake,71.03000000,-154.44361111
A79,Cape Simpson No. 1,71.50166667,-154.03388889
A7K,Nakochna Airport,62.03611111,-151.45222222
A80,Cape Simpson No. 7,70.57388889,-155.32138889
A81,Cape Simpson #1,70.66277778,-154.83666667
A82,Nikiski Private Airstrip,60.69027778,-151.28888889
A83,Petrof Point Airport,59.37638889,-150.76500000
A84,Denali West Lodge Private,63.75555556,-147.93000000
A85,Big River Airport,61.85944444,-154.27666667
A87,Carry Inlet Airport,58.58305556,-152.44583333
A89,Montague Island Airport,59.92500000,-147.51666667
A8K,Granite Point Ndb,60.96166667,-151.33166667
A90,Shannon Pond Airport,59.03916667,-158.46388889
A91,Omalik Lagoon Airport,69.15555556,-163.49722222
A92,Omolik Lagoon Airport,69.14805556,-163.51027778
A93,Bradley Lake Project Airport,59.79166667,-151.26666667
A94,Ice Strip,70.57416667,-155.31805556
A95,Ice Strip,70.31194444,-153.24916667
A96,Ice Strip,70.98083333,-157.09500000
A97,Akulik Air Strip,68.98555556,-163.47972222
A98,Deadfall Air Strip,69.17083333,-163.25638889
A99,Eagle Creek Airport,68.67666667,-162.64694444
A9K,Era Denali Heliport,63.73833333,-148.88166667
AA1,Ice Kong,59.95277778,-162.61694444
AA2,Icicle Seafoods,58.70944444,-157.07138889
AA4,Glacier Split,59.63333333,-151.20833333
AA5,Selby Lake Airport,66.95583333,-155.61500000
AA7,Independence Creek Airport,65.67361111,-162.46416667
AA8,Badami,70.13750000,-147.03055556
AA9,Napaimute Pioneer Airfield,61.53638889,-158.73888889
AAA,Anaa Airport,-17.35388889,-145.50972222
AAA,Anaa Airport,-17.35250000,-145.51000000
AAB,Arrabury Station,-26.70000000,141.04166667
AAC,El Arish International,31.05444444,33.81916667
AAC,El Arish International,31.05555556,33.82750000
AAC,El Arish International,31.07333333,33.83583333
AAC,El Arish International,31.07638889,33.83333333
AAD,Ad-Dabbah Airport,18.05000000,30.93361111
AAE,Rabah Bitat,36.82166667,7.81000000
AAE,Rabah Bitat,36.82222222,7.80944444
AAE,Rabah Bitat,36.82944444,7.81388889
AAF,Apalachicola Regional,29.72750000,-85.02750000
AAF,Apalachicola Regional,29.72750000,-85.02750000
AAF,Apalachicola Regional Cleve Randolph Field,29.72750000,-85.02750000
AAF,Apalachicola Regional Cleve Randolph Field,29.72750000,-85.02750000
AAH,Aachen Merzbruck,50.82305556,6.18750000
AAH,Aachen Merzbrueck,50.82166667,6.18416667
AAH,Aachen Merzbrueck,50.82305556,6.18750000
AAH,Aachen Merzbrueck,50.82305556,6.18750000
AAH,Aachen/Merzbruck,50.82305556,6.18611111
AAH,Aachen/Merzbruck,50.82305556,6.18611111
AAH,Aachen/Merzbruck,50.82305556,6.18750000
AAI,Arraias Airport,-13.02583333,-46.88361111
AAI,Arraias Airport,-13.02583333,-46.88361111
AAI,Arraias Airport,-13.02500000,-46.88416667
AAI,Arraias Airport,-13.02500000,-46.88416667
AAI,Arraias Airport,-12.91666667,-46.93333333
AAL,Aalborg Airport,57.09277778,9.84916667
AAL,Aalborg Airport,57.09305556,9.85000000
AAL,Aalborg Airport,57.09416667,9.85583333
AAM,Malamala,-24.81694444,31.54416667
AAM,Malamala,-24.80833333,31.54166667
AAN,Al Ain International,24.26166667,55.60916667
AAN,Al Ain International,24.26166667,55.60916667
AAN,Al Ain International,24.26194444,55.60750000
AAO,Anaco Airport,9.43000000,-64.47083333
AAO,Anaco Airport,9.43000000,-64.47083333
AAO,Anaco Airport,9.43027778,-64.47083333
AAO,Anaco Airport,9.43027778,-64.47083333
AAO,Anaco Airport,9.43194444,-64.46388889
AAQ,Anapa Airport,45.00222222,37.34722222
AAQ,Vityazevo,44.90000000,37.31666667
AAQ,Vityazevo,45.00222222,37.34722222
AAQ,Vityazevo,45.00222222,37.34722222
AAR,Aarhus Airport,56.30000000,10.61888889
AAR,Aarhus Airport,56.30416667,10.61944444
AAR,Tirstrup,56.30388889,10.62000000
AAR,Tirstrup,56.31027778,10.61805556
AAU,Asau W Sam,-13.51666667,-172.65000000
AAX,Araxa Airport,-19.56805556,-46.92916667
AAX,Araxa Airport,-19.56333333,-46.96027778
AAX,Romeu Zema,-19.56333333,-46.96027778
ABA,Abakan Airport,53.74000000,91.38500000
ABA,Abakan Airport,53.74000000,91.38500000
ABA,Abakan Airport,53.74000000,91.38527778
ABD,Abadan Airport,30.36527778,48.23305556
ABD,Abadan Airport,30.36611111,48.23222222
ABD,Abadan Airport,30.36611111,48.23222222
ABE,Lehigh Valley International,40.65222222,-75.44055556
ABE,Lehigh Valley International,40.65222222,-75.44055556
ABE,Lehigh Valley International,40.65222222,-75.44027778
ABE,Lehigh Valley International,40.65222222,-75.44027778
ABE,Lehigh Valley International,40.65250000,-75.44027778
ABE,Lehigh Valley International,40.65472222,-75.43833333
ABI,Abilene Regional,32.40944444,-99.67972222
ABI,Abilene Regional,32.41111111,-99.68166667
ABI,Abilene Regional,32.41138889,-99.68194444
ABJ,Abidjan Felix Houphouet Boigny International,5.25555556,-3.92916667
ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
ABK,Kabri Dar Airport,6.73388889,44.26611111
ABK,Kebri Dahar,6.73277778,44.24138889
ABK,Kebri Dahar,6.73277778,44.24138889
ABK,Kebri Dahar,6.73277778,44.24166667
ABK,Kebri Dahar,6.73277778,44.24166667
ABL,Ambler River,67.08750000,-157.84583333
ABQ,Albuquerque International Sunport,35.03888889,-106.60833333
ABQ,Albuquerque International Sunport,35.03888889,-106.60833333
ABQ,Albuquerque International Sunport,35.04027778,-106.60916667
ABQ,Albuquerque International Sunport,35.04027778,-106.60916667
ABQ,Albuquerque International Sunport,35.04166667,-106.60638889
ABR,Aberdeen Regional,45.44666667,-98.42250000
ABR,Aberdeen Regional,45.44666667,-98.42250000
ABR,Aberdeen Regional,45.44833333,-98.42250000
ABR,Aberdeen Regional,45.44916667,-98.42194444
ABR,Aberdeen Regional,45.44916667,-98.42194444
ABR,Aberdeen Regional,45.44972222,-98.42166667
ABS,Abu Simbel Airport,22.37222222,31.61527778
ABS,Abu Simbel Airport,22.37472222,31.60944444
ABS,Abu Simbel Airport,22.37472222,31.60944444
ABS,Abu Simbel Airport,22.37583333,31.61166667
ABS,Abu Simbel Airport,22.37583333,31.61166667
ABT,Al Baha,20.29611111,41.63416667
ABT,Al-Baha Airport,20.29611111,41.63416667
